x1,y1,x2,y2
64,744,768,923
768,923,140,847
140,847,47,290
47,290,113,817
113,817,943,733
943,733,600,11
600,11,993,588
993,588,716,49
716,49,401,990
401,990,894,809
894,809,936,254
936,254,1,501
1,501,975,343
975,343,29,334
29,334,990,600
990,600,121,175
121,175,752,69
752,69,469,1000
469,1000,989,607
989,607,711,47
711,47,38,311
38,311,936,254
936,254,719,950
719,950,187,890
187,890,460,2
460,2,6,428
6,428,995,425
995,425,11,600
11,600,998,548
998,548,628,17
628,17,58,268
58,268,579,7
579,7,3,453
3,453,260,939
260,939,934,750
934,750,398,990
398,990,999,460
999,460,758,929
758,929,130,836
130,836,616,987
616,987,107,809
107,809,45,293
45,293,784,89
784,89,202,100
202,100,834,128
834,128,217,89
217,89,824,119
824,119,755,931
755,931,992,407
992,407,747,936
747,936,165,871
165,871,257,64
257,64,299,958
299,958,797,903
797,903,51,719
51,719,994,579
994,579,100,799
100,799,361,20
361,20,968,322
968,322,56,271
56,271,557,4
557,4,934,750
934,750,789,92
789,92,222,85
222,85,9,591
9,591,516,1000
516,1000,987,616
987,616,15,622
15,622,391,13
391,13,241,928
241,928,2,457
2,457,838,132
838,132,840,867
840,867,276,947
276,947,852,856
852,856,61,739
61,739,158,136
158,136,376,985
376,985,111,187
111,187,209,907
209,907,696,961
696,961,963,311
963,311,398,11
398,11,603,990
603,990,149,856
149,856,896,807
896,807,27,661
27,661,497,1000
497,1000,850,143
850,143,918,776
918,776,940,262
940,262,30,331
30,331,974,340
974,340,319,34
319,34,2,463
2,463,969,676
969,676,554,998
554,998,588,8
588,8,2,463
2,463,999,541
999,541,643,21
643,21,54,276
54,276,916,222
916,222,154,140
154,140,58,733
58,733,792,907
792,907,1000,472
1000,472,768,923
768,923,768,78
768,78,225,83
225,83,822,117
822,117,276,54
276,54,343,975
343,975,69,249
69,249,910,214
910,214,661,974
661,974,519,1
519,1,58,268
58,268,460,2
460,2,962,308
962,308,9,591
9,591,994,422
994,422,6,425
6,425,986,382
986,382,722,949
722,949,91,787
91,787,349,24
349,24,1,522
1,522,995,425
995,425,763,926
763,926,308,962
308,962,782,914
782,914,1000,513
1000,513,96,794
96,794,43,299
43,299,582,7
582,7,897,804
897,804,20,640
20,640,432,996
432,996,37,687
37,687,876,831
876,831,413,993
413,993,9,407
9,407,973,664
973,664,594,9
594,9,992,594
992,594,453,998
453,998,886,182
886,182,945,730
945,730,945,271
945,271,7,579
7,579,219,87
219,87,1,497
1,497,921,230
921,230,40,305
40,305,91,787
91,787,652,977
652,977,197,897
197,897,997,438
997,438,36,685
