p1,p2,R,G,B
125,64,253,253,253
64,48,253,253,253
48,105,253,253,253
105,92,253,253,253
92,122,253,253,253
122,137,253,253,253
137,13,253,253,253
13,37,253,253,253
37,8,253,253,253
8,136,253,253,253
136,4,253,253,253
4,61,253,253,253
61,46,253,253,253
46,24,253,253,253
24,124,253,253,253
124,141,253,253,253
141,111,253,253,253
111,81,253,253,253
81,35,253,253,253
35,50,253,253,253
50,2,253,253,253
2,54,253,253,253
54,32,253,253,253
32,102,253,253,253
102,121,253,253,253
121,69,253,253,253
69,0,253,253,253
0,95,253,253,253
95,73,253,253,253
73,101,253,253,253
101,62,253,253,253
62,105,253,253,253
105,33,253,253,253
33,17,253,253,253
17,72,253,253,253
72,115,253,253,253
115,131,253,253,253
131,11,253,253,253
11,107,253,253,253
107,77,253,253,253
77,12,253,253,253
12,38,253,253,253
38,56,253,253,253
56,114,253,253,253
114,100,253,253,253
100,85,253,253,253
85,14,253,253,253
14,49,253,253,253
49,74,253,253,253
74,35,253,253,253
35,19,253,253,253
19,0,253,253,253
0,120,253,253,253
120,106,253,253,253
106,91,253,253,253
91,70,253,253,253
70,37,253,253,253
37,21,253,253,253
21,2,253,253,253
2,132,253,253,253
132,112,253,253,253
112,127,253,253,253
127,99,253,253,253
99,148,253,253,253
148,128,253,253,253
128,55,253,253,253
55,73,253,253,253
73,146,253,253,253
146,108,253,253,253
108,137,253,253,253
137,115,253,253,253
115,31,253,253,253
31,15,253,253,253
15,46,253,253,253
46,82,253,253,253
82,62,253,253,253
62,12,253,253,253
12,87,253,253,253
87,39,253,253,253
39,113,253,253,253
113,7,253,253,253
7,23,253,253,253
23,134,253,253,253
134,16,253,253,253
16,98,253,253,253
98,52,253,253,253
52,83,253,253,253
83,100,253,253,253
100,65,253,253,253
65,47,253,253,253
47,137,253,253,253
137,96,253,253,253
96,148,253,253,253
148,38,253,253,253
38,68,253,253,253
68,88,253,253,253
88,109,253,253,253
109,144,253,253,253
144,43,253,253,253
43,22,253,253,253
22,149,253,253,253
149,25,253,253,253
25,78,253,253,253
78,98,253,253,253
98,119,253,253,253
119,30,253,253,253
30,45,253,253,253
45,27,253,253,253
27,112,253,253,253
112,77,253,253,253
77,58,253,253,253
58,123,253,253,253
123,142,253,253,253
142,11,253,253,253
11,135,253,253,253
135,118,253,253,253
118,94,253,253,253
94,75,253,253,253
75,27,253,253,253
27,9,253,253,253
9,53,253,253,253
53,37,253,253,253
37,3,253,253,253
3,86,253,253,253
86,49,253,253,253
49,67,253,253,253
67,41,253,253,253
41,14,253,253,253
14,34,253,253,253
34,16,253,253,253
16,141,253,253,253
141,67,253,253,253
67,50,253,253,253
50,23,253,253,253
23,129,253,253,253
129,88,253,253,253
88,138,253,253,253
138,121,253,253,253
121,100,253,253,253
100,126,253,253,253
126,145,253,253,253
145,113,253,253,253
113,68,253,253,253
68,136,253,253,253
136,117,253,253,253
117,101,253,253,253
101,40,253,253,253
86,86,42,47,100
86,23,42,47,100
23,126,42,47,100
126,24,42,47,100
24,125,42,47,100
125,55,42,47,100
55,141,42,47,100
141,84,42,47,100
84,2,42,47,100
2,83,42,47,100
83,10,42,47,100
10,87,42,47,100
87,24,42,47,100
24,94,42,47,100
94,50,42,47,100
50,109,42,47,100
109,33,42,47,100
33,132,42,47,100
132,35,42,47,100
35,108,42,47,100
108,49,42,47,100
49,139,42,47,100
139,72,42,47,100
72,123,42,47,100
123,61,42,47,100
61,106,42,47,100
106,39,42,47,100
39,121,42,47,100
121,17,42,47,100
17,96,42,47,100
96,26,42,47,100
26,77,42,47,100
77,146,42,47,100
146,64,42,47,100
64,142,42,47,100
142,65,42,47,100
65,9,42,47,100
9,95,42,47,100
95,149,42,47,100
149,72,42,47,100
72,18,42,47,100
18,116,42,47,100
116,12,42,47,100
12,101,42,47,100
101,22,42,47,100
22,122,42,47,100
122,39,42,47,100
39,85,42,47,100
85,142,42,47,100
142,74,42,47,100
74,3,42,47,100
3,58,42,47,100
58,135,42,47,100
135,40,42,47,100
40,113,42,47,100
113,66,42,47,100
66,143,42,47,100
143,58,42,47,100
58,136,42,47,100
136,43,42,47,100
43,88,42,47,100
88,143,42,47,100
143,86,42,47,100
86,22,42,47,100
22,121,42,47,100
121,46,42,47,100
46,105,42,47,100
105,60,42,47,100
60,122,42,47,100
122,71,42,47,100
71,17,42,47,100
17,115,42,47,100
115,32,42,47,100
32,93,42,47,100
93,49,42,47,100
49,148,42,47,100
148,48,42,47,100
48,92,42,47,100
92,21,42,47,100
21,74,42,47,100
74,143,42,47,100
143,71,42,47,100
71,139,42,47,100
139,67,42,47,100
67,11,42,47,100
11,78,42,47,100
78,28,42,47,100
28,110,42,47,100
110,44,42,47,100
44,118,42,47,100
118,57,42,47,100
57,101,42,47,100
101,56,42,47,100
56,136,42,47,100
136,59,42,47,100
59,103,42,47,100
103,44,42,47,100
44,111,42,47,100
111,38,42,47,100
38,121,42,47,100
121,71,42,47,100
71,2,42,47,100
2,57,42,47,100
57,3,42,47,100
3,85,42,47,100
85,140,42,47,100
140,53,42,47,100
53,97,42,47,100
97,37,42,47,100
37,110,42,47,100
110,64,42,47,100
64,133,42,47,100
133,63,42,47,100
63,8,42,47,100
8,64,42,47,100
64,128,42,47,100
128,29,42,47,100
29,129,42,47,100
129,28,42,47,100
28,90,42,47,100
90,144,42,47,100
144,63,42,47,100
63,109,42,47,100
109,27,42,47,100
27,78,42,47,100
78,132,42,47,100
132,62,42,47,100
62,125,42,47,100
125,22,42,47,100
22,124,42,47,100
124,21,42,47,100
21,85,42,47,100
85,38,42,47,100
38,120,42,47,100
120,16,42,47,100
16,81,42,47,100
81,136,42,47,100
136,42,42,47,100
58,58,171,36,50
58,111,171,36,50
111,22,171,36,50
22,79,171,36,50
79,139,171,36,50
139,68,171,36,50
68,4,171,36,50
4,96,171,36,50
96,43,171,36,50
43,128,171,36,50
128,44,171,36,50
44,122,171,36,50
122,66,171,36,50
66,4,171,36,50
4,91,171,36,50
91,0,171,36,50
0,88,171,36,50
88,34,171,36,50
34,127,171,36,50
127,33,171,36,50
33,87,171,36,50
87,0,171,36,50
0,65,171,36,50
65,121,171,36,50
121,29,171,36,50
29,85,171,36,50
85,30,171,36,50
30,125,171,36,50
125,36,171,36,50
36,93,171,36,50
93,40,171,36,50
40,94,171,36,50
94,3,171,36,50
3,93,171,36,50
93,38,171,36,50
38,126,171,36,50
126,69,171,36,50
69,138,171,36,50
138,78,171,36,50
78,14,171,36,50
14,100,171,36,50
100,48,171,36,50
48,131,171,36,50
131,42,171,36,50
42,133,171,36,50
133,71,171,36,50
71,129,171,36,50
129,68,171,36,50
68,8,171,36,50
8,97,171,36,50
97,44,171,36,50
44,130,171,36,50
130,49,171,36,50
49,102,171,36,50
102,14,171,36,50
14,101,171,36,50
101,48,171,36,50
48,140,171,36,50
140,80,171,36,50
80,19,171,36,50
19,113,171,36,50
113,25,171,36,50
25,118,171,36,50
118,63,171,36,50
63,2,171,36,50
2,62,171,36,50
62,117,171,36,50
117,23,171,36,50
23,83,171,36,50
83,143,171,36,50
143,54,171,36,50
54,136,171,36,50
136,57,171,36,50
57,145,171,36,50
145,79,171,36,50
79,21,171,36,50
21,105,171,36,50
105,18,171,36,50
18,111,171,36,50
111,57,171,36,50
57,148,171,36,50
148,89,171,36,50
89,34,171,36,50
34,128,171,36,50
128,38,171,36,50
38,130,171,36,50
130,69,171,36,50
69,4,171,36,50
4,95,171,36,50
95,39,171,36,50
39,94,171,36,50
94,41,171,36,50
41,132,171,36,50
132,52,171,36,50
52,143,171,36,50
143,82,171,36,50
82,25,171,36,50
25,85,171,36,50
85,145,171,36,50
145,55,171,36,50
55,108,171,36,50
108,17,171,36,50
17,106,171,36,50
106,52,171,36,50
52,134,171,36,50
134,72,171,36,50
72,136,171,36,50
136,76,171,36,50
76,142,171,36,50
142,51,171,36,50
51,134,171,36,50
134,47,171,36,50
47,100,171,36,50
100,9,171,36,50
9,69,171,36,50
69,6,171,36,50
6,96,171,36,50
96,5,171,36,50
5,72,171,36,50
72,140,171,36,50
140,74,171,36,50
74,11,171,36,50
11,76,171,36,50
