p1,p2,R,G,B
39,47,183,155,125
47,53,183,155,125
53,60,183,155,125
60,51,183,155,125
51,69,183,155,125
69,11,183,155,125
11,107,183,155,125
107,135,183,155,125
135,138,183,155,125
138,136,183,155,125
136,139,183,155,125
139,114,183,155,125
114,24,183,155,125
24,20,183,155,125
20,1,183,155,125
1,139,183,155,125
139,136,183,155,125
136,144,183,155,125
144,137,183,155,125
137,77,183,155,125
77,84,183,155,125
84,80,183,155,125
80,85,183,155,125
85,133,183,155,125
133,106,183,155,125
106,77,183,155,125
77,11,183,155,125
11,128,183,155,125
128,15,183,155,125
15,32,183,155,125
32,5,183,155,125
5,29,183,155,125
29,42,183,155,125
42,35,183,155,125
35,49,183,155,125
49,101,183,155,125
101,96,183,155,125
96,85,183,155,125
85,13,183,155,125
13,26,183,155,125
26,16,183,155,125
16,56,183,155,125
56,84,183,155,125
84,78,183,155,125
78,7,183,155,125
7,134,183,155,125
134,108,183,155,125
108,5,183,155,125
5,19,183,155,125
19,31,183,155,125
31,39,183,155,125
39,144,183,155,125
144,137,183,155,125
137,93,183,155,125
93,134,183,155,125
134,9,183,155,125
9,136,183,155,125
136,139,183,155,125
139,135,183,155,125
135,138,183,155,125
138,0,183,155,125
0,73,183,155,125
73,119,183,155,125
119,25,183,155,125
25,17,183,155,125
17,127,183,155,125
127,95,183,155,125
95,72,183,155,125
72,83,183,155,125
83,63,183,155,125
63,40,183,155,125
40,50,183,155,125
50,71,183,155,125
71,101,183,155,125
101,86,183,155,125
86,22,183,155,125
22,124,183,155,125
124,149,183,155,125
149,138,183,155,125
138,118,183,155,125
118,58,183,155,125
58,30,183,155,125
30,38,183,155,125
38,4,183,155,125
4,36,183,155,125
36,113,183,155,125
113,47,183,155,125
47,28,183,155,125
28,5,183,155,125
5,46,183,155,125
46,41,183,155,125
41,99,183,155,125
99,67,183,155,125
67,52,183,155,125
52,61,183,155,125
61,89,183,155,125
89,81,183,155,125
81,35,183,155,125
35,49,183,155,125
49,31,183,155,125
31,39,183,155,125
39,47,183,155,125
47,122,183,155,125
122,70,183,155,125
70,74,183,155,125
74,57,183,155,125
57,11,183,155,125
11,142,183,155,125
109,109,163,80,36
109,38,163,80,36
38,85,163,80,36
85,84,163,80,36
84,86,163,80,36
86,81,163,80,36
81,112,163,80,36
112,111,163,80,36
111,114,163,80,36
114,113,163,80,36
113,115,163,80,36
115,111,163,80,36
111,114,163,80,36
114,113,163,80,36
113,115,163,80,36
115,111,163,80,36
111,114,163,80,36
114,110,163,80,36
110,48,163,80,36
48,134,163,80,36
134,135,163,80,36
135,129,163,80,36
129,136,163,80,36
136,107,163,80,36
107,105,163,80,36
105,102,163,80,36
102,104,163,80,36
104,100,163,80,36
100,13,163,80,36
13,65,163,80,36
65,119,163,80,36
119,135,163,80,36
135,129,163,80,36
129,136,163,80,36
136,130,163,80,36
130,47,163,80,36
47,101,163,80,36
101,104,163,80,36
104,102,163,80,36
102,106,163,80,36
106,20,163,80,36
20,71,163,80,36
71,111,163,80,36
111,114,163,80,36
114,112,163,80,36
112,115,163,80,36
115,111,163,80,36
111,114,163,80,36
114,112,163,80,36
112,115,163,80,36
115,111,163,80,36
111,114,163,80,36
114,110,163,80,36
110,56,163,80,36
56,139,163,80,36
139,58,163,80,36
58,94,163,80,36
94,53,163,80,36
53,88,163,80,36
88,138,163,80,36
138,83,163,80,36
83,87,163,80,36
